"RMS_received_1","RMS_received_2","RMS_received_3","RMS_received_4","RMS_received_5","RMS_received_6"
NA,NA,NA,67.33,78.26,NA
87.3,84.55,88.44,80.74,78.37,NA
NA,NA,NA,NA,79.69,73.65
NA,NA,NA,77.63,65.35,NA
81.57,81.05,NA,NA,NA,NA
76.52,77.25,NA,NA,NA,NA
75.17,73.11,75.16,78.53,80.24,NA
81.12,85.09,76.72,NA,NA,NA
83.34,82.49,NA,73.64,NA,NA
78.16,77.92,81.46,78.58,80.39,76.02
NA,NA,NA,76.04,76.71,NA
88.41,86.59,87.89,82.6,83.91,78.99
82.47,80.1,88.01,NA,79.46,NA
81.6,81.54,85.76,79.69,82.79,NA
80.44,NA,81.91,NA,NA,NA
NA,83.74,NA,79.79,83.91,79.8
72.18,75.08,75.52,NA,NA,NA
NA,NA,87.04,NA,83.66,78.66
83.32,NA,85.54,79.65,82.27,76.83
NA,85.65,NA,83.47,NA,NA
87,85.13,88.09,82.1,85.55,80.53
86.82,81.9,NA,NA,NA,NA
83.41,72.95,85.19,NA,78.86,NA
NA,NA,72.17,69.29,70.39,NA
NA,76.78,NA,75.83,76.53,NA
84.42,NA,91.31,81.03,86.66,NA
83.27,79.56,NA,77.9,78.46,NA
NA,81.18,NA,81.28,NA,NA
73.91,NA,71.29,NA,86.85,82.88
75.74,NA,82.53,NA,NA,NA
78.95,83.35,82.06,81.06,82.11,82.25
84.21,71.16,86.31,87,84.13,80.52
NA,80.52,74.89,80.56,74.54,NA
NA,87.99,NA,81.69,NA,NA
NA,NA,88.2,77.08,81.85,NA
88.92,90.87,89.72,NA,NA,NA
NA,85.25,84.37,NA,83.7,85.13
NA,82.17,86.31,80.86,79.23,NA
84.52,77.31,NA,81.81,NA,NA
81.99,NA,87.28,NA,NA,NA
79.69,79.3,NA,74.87,NA,NA
NA,80.19,77.75,79.75,78.42,77.51
78.49,75.67,NA,NA,NA,NA
NA,NA,75.38,73.52,NA,NA
NA,88.96,89.97,NA,NA,NA
79.47,78.7,NA,NA,NA,NA
74.36,NA,74.26,NA,NA,NA
81.03,78.72,84.46,78.86,76.14,77.12
NA,70.13,NA,78.13,NA,NA
87.06,74.36,89.29,88.85,NA,NA
75.15,76.72,77.11,NA,87.5,NA
NA,NA,NA,NA,72.4,85.72
75.06,75.84,82.84,72.43,72.58,NA
NA,78.05,NA,76.73,80.86,NA
73.35,77.58,NA,NA,NA,NA
81.42,NA,76.68,NA,NA,NA
74.28,NA,73.88,NA,NA,NA
76.55,76.32,78.37,81.24,NA,NA
77.38,79.76,73.62,NA,NA,NA
73.32,74.61,68.06,NA,81.58,77.12
81.92,80.71,NA,NA,NA,NA
83.2,84.15,NA,NA,NA,NA
77.45,79.61,74.36,NA,75.08,NA
NA,NA,76.87,76.35,77.46,NA
76.6,77.08,NA,NA,NA,NA
73.01,NA,76.78,NA,NA,NA
70.38,72.38,72.05,NA,NA,NA
NA,79.43,NA,79.76,NA,NA
87.55,83.57,89.83,80.41,84.28,NA
75.52,78.48,74.98,NA,73.35,NA
75.18,77.11,NA,NA,NA,NA
87.77,88.23,73.12,73.55,NA,NA
70.32,88.46,81.24,77.74,75.94,NA
86.02,80.15,85.52,79.16,78.92,76.86
NA,85.29,NA,82.96,82.88,77.51
NA,74.38,68.87,NA,NA,NA
NA,NA,82.58,NA,75.04,NA
88.19,82.86,89.57,82.92,85.58,80.2
79.12,NA,90.02,NA,85,78.52
89.07,84.12,NA,83.85,NA,NA
NA,83.96,NA,83.61,NA,NA
NA,NA,79.14,70.5,NA,NA
73.23,82.62,90.14,83.87,84.97,79.96
82.79,NA,85.16,NA,NA,NA
77.59,NA,87.91,78.81,79,76.15
79.05,73.29,NA,76.71,74.03,74.12
80.97,81.23,83.79,81.52,82.39,NA
82.3,81.67,82.17,NA,80.72,76.29
74.67,78.66,NA,NA,NA,NA
NA,NA,NA,82.92,76.23,NA
83.97,77.23,75.71,86.03,85.45,81.26
77.37,78.88,NA,NA,NA,NA
85.42,88.02,83.86,87.76,86.2,78.97
81.46,72.15,NA,NA,NA,NA
72.76,71.43,63.2,80.57,NA,NA
86.15,81.28,88.27,79.71,NA,NA
83.02,NA,86.61,NA,93.86,94.31
78.42,77.32,NA,77.83,77.45,75.7
88.47,81.67,89.14,87.94,86.13,78.81
NA,83.48,NA,82.01,NA,NA
76.17,77.9,NA,NA,NA,NA
77.44,NA,81.56,NA,NA,NA
87.66,79.62,85.5,NA,84.21,78.8
78.29,83.31,88.83,81.05,NA,NA
NA,63.88,83.86,NA,78.62,NA
NA,90.73,88.13,86.36,82.25,NA
67,77.45,63.85,NA,NA,NA
71.85,79.2,NA,NA,NA,NA
NA,69.03,NA,80.44,74.73,NA
NA,NA,NA,NA,73.37,75.29
86.63,82.95,88.95,82.7,NA,NA
87.41,84.9,90.19,NA,NA,NA
NA,90.28,87.92,85.02,72.82,NA
NA,81.89,NA,76.82,NA,NA
NA,89.56,87.71,84.26,NA,NA
NA,91.8,89.26,81.46,77.57,NA
NA,83.73,84.22,NA,NA,NA
NA,NA,90.98,82.76,83.25,77.82
86.77,NA,89.19,NA,86.11,NA
NA,89.83,86.83,80.69,77.69,NA
NA,NA,NA,88.22,90.83,87.06
82.52,NA,85.81,NA,82.12,NA
78.35,82.68,NA,79.96,NA,NA
83.02,86.36,88.19,84.3,85.58,80.02
NA,81.03,NA,81.23,82.64,79.46
80.27,81.16,83.09,81.09,77.92,76.87
85.4,83.1,90.45,81.6,84.87,78.69
77.94,78.7,81.11,78.01,NA,NA
75.72,75.5,73.59,75.65,74.51,NA
79.47,NA,79.96,NA,NA,NA
78.34,73.37,75.14,NA,77.97,NA
87.36,84.5,91.7,83.16,NA,NA
76.07,NA,78.6,NA,87.11,81.78
NA,77.07,NA,74.3,74.23,NA
93.07,85.4,87.92,NA,NA,NA
NA,NA,NA,79.95,79.87,NA
89.96,85.88,92.28,NA,NA,NA
NA,NA,86.4,NA,88.84,82.75
NA,83.27,NA,85.13,NA,NA
83.27,82.39,NA,77.18,77.85,NA
NA,NA,NA,78.63,79.31,75.8
NA,NA,NA,NA,84.89,80.29
NA,90.67,NA,78.16,NA,NA
NA,80.51,86.87,78.39,92.31,88.68
84.41,81.32,NA,NA,NA,NA
NA,74.22,NA,81.91,85.06,79.77
72.39,77.47,NA,NA,NA,NA
84.07,79.33,NA,NA,NA,NA
84.85,82.95,88.51,82.47,74.69,NA
NA,NA,78.33,NA,86.2,79.35
NA,73.22,NA,76.48,NA,NA
82.99,79.32,71.28,72.77,NA,NA
NA,87.46,82.52,74.81,NA,NA
NA,NA,NA,75.33,81.28,NA
75.98,81.93,82.06,80.06,80.96,75.2
74.01,77.65,75.37,73.68,73.93,NA
NA,85.91,85.99,NA,83.67,79.77
NA,NA,NA,78.72,77.91,73.32
83.72,87.66,87.77,81.17,83.06,77.43
NA,NA,87.84,75.91,77.36,NA
NA,87.56,77.8,85.81,87.79,82.19
NA,NA,NA,79.69,82,NA
80.39,64.61,62.54,NA,NA,NA
NA,NA,NA,NA,74.4,72.83
89.45,86.78,90.65,84.74,86.34,77.96
74.7,76.39,76.42,75.91,NA,NA
82.54,78.64,84.23,75.43,77.39,NA
89.46,86.46,90.87,84.2,86.2,NA
NA,77.66,80.62,77.14,75.52,82.55
NA,NA,NA,83.07,79.43,NA
87.97,87.18,86.84,86.94,84.92,81.25
NA,83.32,74.85,80.45,78.59,78.87
88.6,74.43,90.45,NA,85.85,81.29
NA,85.63,NA,84.67,NA,NA
NA,88.53,89,NA,93.3,85.58
82.91,85.25,87.36,78.75,77.85,93.24
79,82.75,78.79,80.63,NA,NA
89.76,89.9,92.31,94.16,NA,NA
78.46,85.44,77.62,84.55,77.76,76.86
87.34,86.34,NA,NA,NA,NA
85.13,NA,79.22,83.26,74.48,NA
80.06,82.14,81.96,NA,81.18,NA
83.7,80.26,77.94,75.17,76.03,NA
NA,NA,74.71,74.38,75.15,NA
86.19,74.33,NA,80.06,81.71,NA
NA,78.07,79.38,NA,NA,NA
NA,81.44,NA,86.9,NA,NA
83.74,73.03,NA,72,NA,NA
81.59,78,NA,NA,NA,NA
NA,77.27,79.07,NA,75.95,NA
NA,82.78,89.23,NA,73.21,NA
NA,75.52,NA,83.49,83.83,80.71
79.35,78.89,83.07,NA,75.81,NA
NA,NA,87.48,76.74,78.33,NA
NA,72.66,70.81,92.67,92.26,88.64
76.97,81.78,78.93,78.9,NA,NA
78.85,NA,93.74,NA,88.87,82.38
86.83,84.86,78.04,83.56,NA,NA
NA,NA,NA,82.88,79.58,81.21
76.06,81.6,79.34,NA,84.5,87.82
77.57,NA,81.83,NA,NA,NA
NA,NA,84.3,82.46,80.43,NA
NA,82.9,83.04,80.34,78.96,75.95
NA,93.7,93.23,87.49,87.93,81.66
85.68,79.02,84.03,82.92,83.6,NA
79.73,90.49,79.62,84.91,NA,NA
NA,NA,83.87,88.21,84.6,88.81
NA,87.77,83.82,79.13,80.63,NA
77.71,73.74,NA,NA,NA,NA
NA,NA,NA,77.78,75.59,NA
NA,86.89,87.59,NA,NA,NA
87.92,75.56,88.95,88.22,86.26,82.96
NA,82.84,83.89,NA,80.21,NA
78.24,78.17,NA,NA,NA,NA
73.41,NA,70.81,72.02,76.1,75.37
NA,89.95,91.96,90.98,88.48,89.59
NA,88.35,85.46,84.94,NA,NA
86,NA,79.95,NA,85.77,84.72
85.37,86.77,85.05,NA,NA,NA
NA,77.47,77.05,86.74,85.81,85.81
85.35,80.54,79.38,NA,NA,NA
77.04,NA,79.83,NA,NA,NA
79.38,80.11,NA,NA,NA,NA
89.17,91.09,72.08,88.6,NA,NA
70.07,NA,86.55,NA,86.23,81.54
80.4,81.79,NA,78.43,77.4,NA
NA,NA,NA,78.02,78.21,77.9
NA,80.04,NA,76.62,87.96,NA
79.88,82.36,80.11,82.31,85.16,75.16
NA,NA,NA,NA,72.98,85.15
82.85,83.79,79.05,NA,72.32,NA
NA,NA,NA,79.09,78.09,NA
82.59,82.86,82.59,83.81,82.8,78.56
NA,NA,NA,75.63,75.72,NA
76.94,76.89,76.05,79.06,77.36,NA
78.64,78.96,79.15,80.94,76.97,NA
85.13,81.8,79.35,82.29,77.53,76.87
92.99,90.77,NA,87.64,88.92,85.52
84.32,85.2,85.39,NA,NA,NA
NA,85.66,88.7,82.14,85.76,NA
76.42,78.95,81.68,77.57,75.45,76.5
83.65,84.09,NA,NA,NA,NA
79.81,NA,86.83,NA,NA,NA
81.46,NA,75.86,85.32,89.98,75.55
87.08,88.7,88.16,86.78,85.86,82.02
85.52,84.91,NA,NA,NA,NA
78.43,NA,80.88,NA,NA,NA
85.65,NA,88.69,80.24,82.65,78.6
89.91,87.95,NA,NA,NA,NA
NA,78.76,NA,87.58,NA,NA
86.87,NA,87.15,86.32,84.56,82.68
90.62,91.32,NA,NA,NA,NA
80.08,81.11,74.81,81.78,70.41,NA
NA,NA,83,NA,80.35,NA
80.17,80.7,78.89,81.66,78.79,NA
82.62,81.87,84.08,89.08,88.2,86.41
NA,72.53,NA,76.6,NA,NA
82.7,82.34,NA,NA,NA,NA
NA,78.68,75.55,NA,NA,NA
79.75,77.39,77.09,NA,NA,NA
70.51,NA,71.74,NA,NA,NA
NA,NA,NA,80.99,79.1,NA
78.33,86.25,NA,80.23,NA,NA
NA,NA,73,83.54,NA,NA
77.35,73.92,NA,NA,NA,NA
77.73,NA,70.98,74.18,72.02,NA
78.26,NA,83.28,77.09,79.25,NA
NA,NA,NA,74.96,76.29,NA
80.23,83.09,NA,76.18,NA,NA
79.3,NA,79.32,NA,NA,NA
77.45,NA,72.53,NA,NA,NA
NA,NA,72.33,NA,73.1,NA
74.54,71.85,81.51,NA,NA,NA
NA,75.47,75.86,76.16,75.86,73.34
81.16,76.15,82.99,NA,68.4,NA
82.53,78.31,78.92,75.93,NA,NA
80.42,78.38,79.84,NA,NA,NA
84.86,77.11,NA,NA,NA,NA
77.97,80.22,77.61,82.24,85.45,NA
NA,NA,NA,80.49,72.83,74.86
NA,NA,71.85,74.87,79.23,NA
NA,NA,74.99,71.79,NA,NA
NA,NA,NA,77.25,78.1,74.58
NA,NA,NA,NA,74.42,73.71
79.53,68.53,68.41,NA,NA,NA
NA,83.27,84.34,NA,NA,NA
NA,NA,79.74,69.1,NA,NA
87.71,83.84,79.06,71.72,NA,NA
NA,83.13,79.88,74.64,NA,NA
88.63,77.3,85.24,70.91,77.51,NA
NA,78.09,82.45,NA,NA,NA
77.06,NA,74.66,NA,NA,NA
95.82,86.64,80.17,81.67,78.94,NA
77.45,92.91,NA,89.69,87.09,NA
NA,96.45,NA,91.81,90.03,83.39
NA,91.87,91.74,83.03,84.41,NA
NA,NA,NA,85.87,85.61,NA
NA,NA,99.79,86.06,NA,NA
NA,82.29,NA,64.94,NA,NA
95.61,NA,95.72,90.34,80.74,NA
NA,NA,NA,NA,93.42,83.08
NA,77.77,NA,89.75,NA,NA
NA,92.6,90.45,79.12,89.13,85.4
86.84,88.66,90.5,NA,NA,NA
85.49,87.4,NA,NA,NA,NA
NA,NA,NA,99.43,95.4,90.2
NA,NA,92.32,83.61,NA,NA
92.31,88.44,80.88,76.28,88.36,81.48
97.36,86.66,88.76,79.55,83.29,NA
NA,NA,NA,96.52,93.13,88.08
NA,NA,83.35,75.79,76.67,NA
78.99,88.69,92.6,74.32,87.83,77.47
NA,78.61,72.89,NA,NA,NA
NA,94.27,NA,88.94,88.82,83.74
NA,97.48,75.18,91.07,88.27,NA
NA,NA,NA,83.55,76.96,NA
85.89,96.01,83.95,87.72,82.87,NA
NA,92.68,73.1,90.44,84.24,79.67
NA,84.95,80.79,NA,NA,NA
77.64,77.17,80.65,NA,74.43,NA
NA,NA,NA,82.56,80.71,76.74
NA,77.84,76.17,80.38,NA,NA
75.97,77.05,76.02,NA,77.59,NA
84.14,85.04,81.46,88.16,85.99,84.16
86.26,87.3,71.93,87.51,73.28,NA
NA,NA,NA,NA,86,86.49
79.93,79.51,NA,NA,NA,NA
NA,NA,76.72,75.21,NA,NA
85.5,84.23,80.23,NA,NA,NA
NA,NA,81.87,76.1,NA,NA
90.15,87.68,80.03,76.37,NA,NA
99.04,99.28,NA,90.08,86.48,82.39
NA,87.07,85.05,NA,76.1,NA
NA,86.65,84.74,81.11,76.25,73.38
88.22,84.2,85.09,NA,NA,NA
94.07,102.25,NA,95.92,NA,NA
75.79,NA,93.79,NA,90.36,84.22
88.59,85.22,83.17,89.24,87.03,NA
NA,NA,NA,NA,75.03,86.69
NA,NA,94.01,90.11,87.81,82.62
NA,104.44,NA,85.33,NA,NA
NA,89.53,84.51,80.18,79.34,NA
88.98,91.37,NA,NA,NA,NA
87.28,87.46,81.77,NA,77.48,NA
83.86,86.75,91.75,94.35,95.64,86.77
NA,NA,NA,NA,88.16,81.09
NA,87.28,79.66,83.64,82.52,82.64
72.74,NA,72.13,NA,NA,NA
85.98,89.39,76.31,93.19,95.32,88.54
76.28,82.15,85.29,79.78,82.04,75.61
84.86,81.81,86.53,79.36,79.26,NA
83.99,82.71,87.7,79.13,83.03,NA
75.82,75.48,NA,NA,NA,NA
NA,84.2,NA,80.28,84.96,NA
85.34,85.67,76.08,80.84,85.5,NA
82.44,82.01,86.29,77.43,82.48,NA
75.01,69.47,72.29,NA,70.23,NA
82.94,81.38,NA,NA,NA,NA
85.03,84.82,78.25,NA,80.26,NA
82.78,81.59,74.65,NA,74.74,NA
84.53,83.56,82.22,86.11,84.55,83.31
79.99,77.19,83.47,74.92,NA,NA
81.27,84.22,NA,79.34,80.46,NA
NA,NA,78.01,79.51,77.97,77.16
85.94,85.1,86.41,89.39,67.4,NA
76.79,88.46,89.76,90.88,NA,NA
84.96,81.95,89.61,77.28,NA,NA
80.1,81.43,NA,NA,NA,NA
95.02,88.18,NA,79.22,NA,NA
75.44,74.18,92.58,89.26,71.22,NA
NA,72.2,75.55,66.63,NA,NA
85.75,87.01,84.83,84.19,NA,NA
91.09,NA,89.84,75.32,72.62,NA
NA,78.2,NA,87.56,90.78,86.22
NA,75.11,74.81,NA,73.16,NA
NA,NA,NA,82.37,79.68,NA
83.84,85.99,84.73,90.27,88.08,89.19
87.54,88.19,84.82,89.25,88.79,85.69
72.22,71.9,NA,73.47,NA,NA
NA,73,71.06,76.06,NA,NA
76.52,79.77,NA,76.64,76.34,NA
NA,84.31,81.26,85.4,85.64,82.86
87.97,81.69,77.24,NA,NA,NA
81.68,83.89,81.07,82.57,81.75,73.15
NA,NA,78.12,NA,81.93,NA
NA,NA,76.46,71.73,76.58,NA
81.3,83.44,82.48,85.73,82.63,77.26
77.28,79.5,76.96,79.48,77.85,NA
77.77,81.65,78.33,NA,77.89,75.41
NA,NA,70.3,80.4,NA,NA
85.72,85.82,NA,85.89,85.6,85.07
NA,83.24,79.96,NA,NA,NA
84.58,80.75,87.17,82.6,75.13,78.07
NA,81.03,79.03,NA,76.37,78.33
NA,80.73,NA,73.89,70.47,NA
NA,78.73,76.53,NA,NA,NA
79.33,83.39,82.06,83.43,81.28,NA
85.15,82.78,88.01,80.49,82.06,NA
93.47,88.26,78.04,85.54,79.92,NA
74.2,76.13,NA,NA,NA,NA
80.18,77.13,81.95,NA,73.26,NA
88.31,81.49,90.23,91.21,71.71,NA
NA,NA,NA,NA,87.92,82.48
84.52,82.59,86.48,81.84,82.42,NA
NA,87.06,80.66,80.87,79.73,NA
94.53,97.56,88.07,87.09,86.19,NA
NA,NA,NA,84.59,84.48,NA
NA,NA,NA,74.55,75.79,NA
90.48,82.44,85.7,83.91,81.73,NA
NA,NA,NA,82.94,82.98,76.29
NA,88.84,NA,83.51,80.18,NA
NA,NA,NA,NA,86.59,85.59
83.98,80.6,73.37,81.81,81.64,NA
84.68,81.8,83.17,84.5,NA,NA
88.88,86.24,86.11,NA,93.17,93.95
84.82,87.2,86.04,80.29,NA,NA
NA,NA,86.9,NA,86.73,84.18
83.83,86.99,NA,NA,NA,NA
71.93,74.16,NA,NA,NA,NA
NA,NA,NA,NA,86.91,83.17
NA,NA,84.69,80.46,76.86,NA
NA,92.14,84.83,91.99,81.63,NA
NA,NA,NA,NA,79.22,86.61
NA,NA,82,77.88,NA,NA
NA,NA,98.16,94.56,91.61,NA
84.51,82.01,86.53,80.26,78.32,NA
83.26,80.8,85.1,80.1,80.8,NA
83.36,84.05,87.08,81.65,NA,NA
NA,83.96,83.11,85.66,75.95,NA
NA,NA,NA,NA,85.9,81.97
81.1,83.97,82.15,85.54,85.96,83.12
77.16,NA,70.7,86.07,83.59,79.87
90.21,83.43,NA,84.53,NA,NA
85.34,83.79,86.37,NA,70.88,NA
NA,NA,NA,NA,82.77,80.63
79.2,78.51,80.82,75.38,81.03,NA
83.61,NA,84.72,80.45,82.01,NA
85.08,82.97,87.91,83.1,84.07,NA
NA,81.83,85.53,81.79,84.1,NA
NA,NA,NA,78.7,77.21,NA
90.18,91.56,92.93,95.2,NA,NA
90.06,91.44,NA,NA,NA,NA
83.29,79.61,83.18,78.27,80.84,NA
81.97,NA,84.5,NA,NA,NA
81.03,86.58,84.2,77.24,NA,NA
NA,NA,79.52,84.57,80.83,79.43
82.58,86.09,80.35,88.33,86.41,82.99
85.82,84.12,81.89,85.85,84.4,80.82
80.27,77.79,NA,76.93,82.32,NA
81.94,85.12,82.78,86.03,82.3,80.18
77.22,77.03,75.07,77.38,78.86,NA
82.42,72.38,79.76,NA,82.38,NA
79.54,82.31,NA,83.3,NA,NA
73.19,72.58,75.09,NA,81.44,77.67
NA,NA,NA,83.02,81.32,NA
75.59,NA,74.81,NA,NA,NA
81.79,86.58,85.02,84.03,82.6,79.29
84.28,87,87.16,73.04,88.66,85.66
NA,NA,NA,75.91,75.14,NA
81.88,81.21,82.32,81.78,NA,NA
NA,NA,87.56,NA,76.46,NA
80.6,81.24,NA,75.35,NA,NA
NA,NA,NA,NA,82.77,74.67
NA,87.24,NA,87.42,88.59,83.17
NA,NA,NA,75.78,75.92,NA
76.51,NA,68.73,NA,NA,NA
NA,NA,NA,NA,74,73.4
79.92,83.01,82.81,NA,75.91,NA
83.37,87.77,NA,85.9,86.64,82.88
74.24,74.04,73.21,NA,74.72,NA
79.98,78.32,80.41,79.39,NA,NA
70.06,78.31,76.53,74.16,74.32,76.48
78.24,77.87,75.15,76.01,74.82,NA
79.35,79.1,81.49,77.81,77.21,NA
84.64,83.68,86.16,84.1,80.87,79.29
75.18,NA,79.02,NA,NA,NA
76.32,82.45,76.15,83.8,79.69,78.35
NA,NA,78.1,76.9,NA,NA
89.56,90.54,84.31,81.81,82.3,NA
84.05,83.02,81.34,84.76,83.5,75.72
76.23,80.42,NA,85.08,NA,NA
79.19,NA,77.28,NA,83.1,89.02
86.65,87.93,86.17,88.27,85.31,81.76
NA,85.74,87.02,87.73,94.71,NA
74.77,75.52,NA,74.91,75.81,NA
NA,71.94,85.48,NA,83.72,NA
85.63,76.77,78.51,84.61,NA,NA
82.14,78.05,NA,81.84,80.49,NA
NA,84.9,90.01,81.78,79.19,NA
NA,76.5,NA,74.72,71.32,NA
73.66,78.3,76.62,80.46,78.48,77.65
NA,NA,82.44,81.1,86.73,87.81
NA,83.24,82.4,86.4,NA,NA
NA,81.45,83.72,NA,NA,NA
NA,83.68,89.88,76.58,79.82,NA
71.64,78.96,77.51,79.76,77.81,76.36
NA,73.6,72.93,73.04,74.31,NA
83.2,79.7,82.89,NA,NA,NA
79.79,NA,78.31,NA,NA,NA
83.11,73.3,83.31,72.55,79.77,NA
NA,77.53,NA,81.49,NA,NA
86.97,84.88,87.09,85.81,85.85,81.97
79.07,79.96,79.32,82.36,84.44,82.53
77.18,75.11,77.08,NA,NA,NA
83.61,80.85,86.13,78.1,78.28,NA
NA,79.49,78.38,79.28,78.49,NA
81.01,80.2,83.77,81.87,81.88,NA
NA,81.65,NA,79.98,79.77,NA
83.75,77.02,83.91,NA,NA,NA
80.98,87.51,79.34,NA,78.99,NA
80.94,73.54,NA,75.3,74.18,NA
89.37,87.15,85.68,NA,NA,NA
87.2,87.53,87.8,86.18,86.93,81.96
82.74,78.29,82.02,NA,NA,NA
83.73,76.45,78.68,82.14,78.95,NA
NA,80.96,84.05,80.83,81.09,NA
76.46,76.33,NA,78.68,NA,NA
83.57,80.77,84.88,81.12,80.26,NA
83.61,80.75,83.91,83.05,81.37,NA
NA,77.92,83.56,NA,NA,NA
81.17,72.45,76.71,86.67,78.44,74.01
NA,NA,88.84,NA,88.94,79.38
85.5,85.84,88.41,86.01,78.09,NA
83.35,80.82,84.24,NA,78.58,NA
82.89,78.75,83.6,NA,77.88,NA
81.37,71.45,82.01,NA,73.6,NA
82.99,81.64,80.85,83.89,85.22,87.45
84.42,83.91,85.43,NA,81.14,NA
77.6,NA,86.24,NA,83.07,NA
86.29,83.28,NA,83.43,NA,NA
88.37,86.37,89.26,88.2,87.5,83.33
85.43,81.49,82.89,85.48,82.7,76.71
82.8,78.99,84.39,80.16,79.55,NA
80.89,78.95,85.79,76.65,80.48,NA
NA,84.05,NA,83.86,82.89,NA
NA,73.58,74.16,NA,71.16,74.99
NA,80.03,NA,72.84,73.04,NA
73.15,73.81,NA,NA,NA,NA
88.39,85.48,NA,84.03,NA,NA
NA,82.17,NA,75.2,NA,NA
83.24,NA,88.53,77.14,NA,NA
NA,72.94,NA,71.61,NA,NA
85.59,76.67,NA,NA,NA,NA
86.26,NA,81.63,NA,NA,NA
72.44,77.3,78.42,NA,NA,NA
86.86,NA,67.51,70.25,72.56,68.59
NA,89.09,91.2,86.54,87.21,82.51
71.91,NA,76.11,71.39,79.56,NA
83.33,78.91,82.67,79.76,77.47,NA
86.19,79.39,85.82,NA,NA,NA
77.99,81.2,NA,79.31,78.66,79.95
83.01,83.17,87.26,80.99,NA,NA
NA,NA,NA,NA,84.35,80.22
NA,81.89,NA,76.92,85.75,79.52
82.87,81.14,NA,NA,NA,NA
79.94,72.76,NA,NA,NA,NA
NA,85.1,91.4,81.79,83.87,NA
85.27,82.73,87.13,80.9,80.25,77.26
76.56,NA,77.83,NA,79.46,NA
73.16,75.88,NA,75.54,75.22,NA
83.77,79.06,82.15,87.77,79.19,76.27
NA,NA,NA,NA,87.61,87.34
74.3,88.6,75.42,NA,73.32,NA
89.36,89.61,82.65,81.34,68.44,NA
76.56,79.57,70.71,77.21,74.8,72.12
NA,74.12,87.1,76.9,80.58,NA
90.43,83.71,NA,81.09,84.36,75.86
83.44,80.21,81.47,NA,82.04,77.03
77.75,77.76,77.87,82.52,78.4,NA
NA,75.92,75.57,68.43,69.34,NA
NA,NA,NA,NA,77.26,77.18
81.81,83.35,NA,78.8,82.97,82.05
81.06,NA,83.08,NA,78.21,NA
85.51,74.73,77.83,NA,NA,NA
NA,83.17,86.61,81.05,78.44,NA
76.29,69.37,NA,NA,NA,NA
80.64,78.81,NA,NA,NA,NA
88.07,88.86,85.96,80.16,80.94,NA
NA,80.8,NA,83.82,NA,NA
77.79,88.73,80.62,NA,NA,NA
NA,NA,NA,77.19,79.48,NA
82.88,80.66,83.56,82.27,80.69,NA
84.41,NA,83.96,81.6,80.41,78.67
83.25,78.53,81.93,80.74,78.65,NA
NA,82.82,90.44,77.88,76.7,NA
84.16,81.03,83.87,81.68,80.61,78.78
96.46,93.01,NA,NA,NA,NA
83.49,80.76,83.96,82.91,80.58,NA
81.47,84.31,82.14,85.25,84.05,83.05
NA,84.99,92.69,85.19,83.37,NA
NA,74.6,63.81,NA,NA,NA
NA,NA,86.37,81.69,83.74,82.17
85.18,85.69,83.29,79.97,77.14,78.41
NA,81.48,75.72,76.43,NA,NA
NA,74.57,73.01,76.55,76.31,77.41
74.94,76.63,NA,NA,NA,NA
NA,NA,NA,NA,80.76,77.98
80.41,NA,84.32,NA,78.41,NA
NA,NA,81.41,77.93,NA,NA
79.45,76.51,74.18,75.03,79.77,72.51
91.73,83.62,NA,NA,NA,NA
83.37,74.45,81.87,80.32,78.32,NA
82.29,77.07,83.81,74.02,73.85,73.44
NA,90.67,NA,80.78,80.88,NA
NA,NA,NA,82.27,81.79,NA
88.02,75.19,89.86,88.52,85.52,83.12
86.71,84.07,NA,80.57,83.42,NA
82.41,81.44,NA,84.22,82.49,77.85
NA,85.48,80.22,NA,79.01,NA
83.01,83.2,69.96,NA,NA,NA
79.55,80.13,73.22,78.66,78.46,76.53
NA,NA,81.24,NA,81.67,78.84
83.61,NA,81.44,NA,NA,NA
80.14,80.16,84.36,79.49,76.93,76.64
NA,79.78,NA,77.35,75.61,NA
NA,84.94,80.66,84.5,85.12,82.64
NA,NA,68.18,NA,72.19,NA
85.56,82.2,84.1,80.68,81.73,NA
NA,82.5,81.49,NA,83.5,NA
87.03,83.05,85.16,81.72,82.98,NA
NA,86.36,82.59,78.73,82.05,NA
NA,81.56,78.09,82.46,82.4,80.71
85.47,78.92,84.28,NA,NA,NA
80.24,75.6,NA,NA,NA,NA
76.5,72.89,NA,75.94,NA,NA
NA,83.98,77.88,78.13,77.86,NA
86.25,84.41,84.41,83.8,84.75,78.7
87.34,83.29,84.66,83.39,82.7,78.4
90.4,83.91,88.06,93.45,95.58,90.39
86.72,89.71,85.55,91.04,91.43,89.24
86.03,84.96,84.01,83.91,84.27,NA
79.19,83.11,78.02,82.17,81.98,81.26
77.36,NA,72.35,NA,74.95,NA
NA,NA,83.89,81.74,73.08,NA
83.14,83.77,81.41,NA,86.29,NA
93.21,88,NA,82.05,NA,NA
NA,82.41,78.34,78.81,78.33,NA
NA,78.63,70.62,NA,NA,NA
83.82,NA,87.14,80.17,80.71,72.67
85.68,85.39,NA,NA,NA,NA
89.22,NA,90.73,NA,87.51,81.92
74.22,87.54,80.99,83.06,NA,NA
88.67,89.72,87.12,86.14,NA,NA
87.72,89.28,86.34,85.19,85.82,80.21
78.19,78.43,NA,NA,NA,NA
