"RMS_received_1","RMS_received_2","RMS_received_3","RMS_received_4","RMS_received_5","RMS_received_6"
NA,NA,NA,79.23,79.51,76.46
84.57,NA,88.99,93.97,NA,NA
87.88,77.6,69.93,82.19,86.59,78.93
80.99,77.01,76.7,NA,83.17,82.46
87.03,86.98,78.85,NA,80.59,NA
82.62,78.98,80.49,78.85,NA,NA
NA,82.99,NA,81.62,77.87,NA
NA,79.41,81.48,83.57,83.62,78.82
79.79,81.91,NA,NA,NA,NA
NA,73.69,NA,73.38,NA,NA
NA,NA,78.11,81.27,83.27,84.88
NA,NA,78.14,82.89,82.81,84.26
73.66,75.03,NA,97.24,102.08,97.49
89.59,92.03,NA,NA,NA,NA
95.18,71.52,78.58,NA,NA,NA
NA,NA,NA,NA,75.53,77.91
NA,79.74,88.49,75.39,76.88,NA
NA,79.39,NA,78.63,NA,NA
NA,82.52,78.57,NA,NA,NA
93.53,88.92,92.63,86.06,79.72,NA
NA,NA,NA,NA,90.95,85.93
87.57,89.04,91.01,95.43,100.6,97.18
75.51,NA,77.29,NA,77.39,NA
NA,NA,77.48,81.92,84.91,NA
81.1,82.38,82.02,77.26,NA,NA
NA,NA,NA,NA,101.11,102.3
87.15,88.83,NA,88.77,88.48,NA
NA,NA,NA,NA,96.71,90.99
78.41,80.62,NA,82.09,80.29,NA
77.78,76.44,NA,NA,NA,NA
82.65,83.41,80.3,NA,NA,NA
NA,79.82,76.82,NA,NA,NA
NA,82.04,80.03,NA,NA,NA
NA,78.54,78.13,80.2,NA,NA
86.34,89.82,86.28,NA,91.02,88.01
87.55,81.45,79.12,85.31,77.58,97.33
84.6,73.79,87.89,93.96,NA,NA
NA,82.61,NA,74.2,NA,NA
79.69,77.49,NA,96.75,NA,NA
88.06,91.33,93.17,98.16,75.69,98.33
NA,NA,NA,84.26,78.38,NA
72.39,74.3,75.5,79.12,NA,NA
86.02,92.1,94.26,95.79,NA,NA
81.72,83.21,NA,78.81,82.93,NA
NA,79.06,83.99,NA,78.99,NA
88.5,79.9,80.25,NA,82.46,NA
95.81,83.79,84.42,80.87,82.13,78.79
NA,72.47,76.75,NA,69.68,NA
89.23,83.18,83.5,76.96,79.48,NA
NA,76.9,NA,83.75,NA,NA
