"bearing_1","bearing_2","bearing_3","bearing_4","bearing_5","bearing_6"
NA,NA,NA,127.81,123.39,152.14
11.41,NA,13.79,320.41,NA,NA
111.79,116.3,114.18,116.26,144.17,130.99
94.88,117.44,120.93,NA,107.92,134.71
294.7,285.51,145.84,NA,124.36,NA
299.15,289.98,293.14,275.43,NA,NA
NA,131.7,NA,106.59,111.75,NA
NA,97.25,101.48,99.26,102.11,114.18
118.82,143.46,NA,NA,NA,NA
NA,99.79,NA,101.45,NA,NA
NA,NA,117.36,107.89,106.6,123.98
NA,NA,13.38,310.37,15.63,73.49
351.28,349.32,NA,319.76,49.55,163.48
12.01,344.02,NA,NA,NA,NA
276.99,145.8,129.14,NA,NA,NA
NA,NA,NA,NA,109.53,119.01
NA,270.68,223.95,244.66,97.65,NA
NA,269.42,NA,244.3,NA,NA
NA,260.49,235.32,NA,NA,NA
284.75,263.89,265.55,252.17,206.41,NA
NA,NA,NA,NA,240.08,238.18
10.87,343.3,12.52,319.83,49.2,164.17
296.83,NA,288.3,NA,278.4,NA
NA,NA,290.66,281.17,271.87,NA
300.16,292.14,290.42,278.01,NA,NA
NA,NA,NA,NA,60.55,161.4
294.53,288.41,NA,277.25,272.42,NA
NA,NA,NA,NA,111.23,149.08
305.89,293.86,NA,273.56,273.01,NA
108.47,148.76,NA,NA,NA,NA
111.81,148.68,139.07,NA,NA,NA
NA,147.09,140.97,NA,NA,NA
NA,215.16,162.33,NA,NA,NA
NA,62.99,65.87,74.93,NA,NA
56.67,54.14,62.05,NA,81.92,108.83
107.86,123.37,130.12,133.63,129.61,158.54
16.99,113.33,11.52,318.88,NA,NA
NA,100.63,NA,128.33,NA,NA
86.81,102.8,NA,319.29,NA,NA
11.41,343.61,11.84,318.78,45.82,164.87
NA,NA,NA,205.19,166.94,NA
99.51,97.05,101.2,97.5,NA,NA
10.83,342.31,11.17,319.02,NA,NA
288.99,271.53,NA,245.32,213.52,NA
NA,275.14,234.84,NA,214.79,NA
280.45,262.78,225.98,NA,203.78,NA
283.84,264.87,230.67,243.43,204.6,205.1
NA,268.74,227.4,NA,206.04,NA
274.76,264.55,225.26,238.73,205.51,NA
NA,355.01,NA,243.46,NA,NA
NA,NA,297.08,NA,292.55,NA
NA,262.6,235.65,NA,211.37,NA
102.46,105.12,106.74,103.03,106.32,123
269.63,261.3,243.94,247.71,229.01,NA
NA,NA,277.68,262.76,240.24,NA
296.88,283.84,276.31,NA,240.77,NA
296.19,284.79,277.61,264.21,239.96,239.12
295.88,286.87,278.63,NA,249.6,NA
NA,NA,NA,320.56,53.07,NA
NA,NA,NA,NA,43.79,163.34
107.13,281.39,271.43,247.9,210.64,210.54
291.2,NA,277.01,262.82,249.38,NA
113.53,127.3,133.11,NA,NA,NA
101.01,110.39,116.21,109.29,108.48,NA
104.55,112.83,116.16,NA,110.02,NA
287.85,280.89,280.2,269,264.72,261.94
NA,NA,119.79,106.41,110.1,NA
105.95,109.33,NA,NA,NA,NA
291.5,281.05,271.39,262.53,246.35,239.01
103.45,106.34,114.61,107.76,113.09,129.82
9.06,113.82,117.1,NA,NA,NA
106.84,117.67,122.23,115.9,124.51,134
293.72,281.63,NA,NA,NA,NA
NA,112.72,116.24,105.91,108.05,NA
303.52,341.49,234.15,NA,NA,NA
10.48,342.69,12.85,313.34,NA,NA
356.97,272.62,263.68,256.69,233.05,NA
293.82,148.73,298.19,286.46,NA,NA
287.78,273.99,256.15,256,232.67,NA
286.59,275.28,NA,256.64,219.07,NA
288.49,272.42,105.5,247.65,214.94,NA
296.67,294.51,298.23,291.24,NA,NA
37.51,16.35,60.36,NA,109.4,148.5
98.61,109.7,109.95,NA,NA,NA
103.02,107.79,103.27,102.98,100.49,NA
NA,111.48,113.89,NA,NA,NA
NA,274.26,NA,249.76,213.49,NA
292.37,270.88,246.64,NA,125.52,NA
NA,NA,9.28,NA,37.19,168.14
10.2,342.39,11.61,317.85,NA,NA
NA,NA,NA,228.42,194.08,NA
104.97,NA,111.26,NA,NA,NA
282.03,273.52,267.54,NA,NA,NA
288.05,273.82,NA,NA,NA,NA
NA,NA,NA,NA,231.2,218.11
NA,111.79,117.67,108.75,115.14,NA
288.19,274.94,258.79,255.73,230.74,NA
31.56,331.85,NA,218.42,151.81,117.33
286.85,274.19,NA,256.45,NA,NA
NA,129.18,NA,138.97,NA,NA
116.52,128.12,132.47,130.97,138.46,NA
NA,128.86,NA,132.52,NA,NA
NA,276.6,NA,129.24,232.7,NA
96.1,99.89,82.96,248.96,106.96,NA
96.81,NA,124.42,100.89,106.62,127.52
NA,NA,302.48,286.8,297.13,NA
105.73,108.75,111.16,97.68,110.6,130.88
NA,NA,NA,NA,239.94,221.95
NA,274.87,274.71,261.35,267.03,NA
NA,275.26,NA,248.6,212.25,213.85
298.61,287.08,291.45,273.98,125.01,NA
300.17,287.18,289.79,246.5,210.24,NA
NA,NA,NA,270.98,267.71,NA
108.59,113.59,NA,NA,NA,NA
8.77,345.61,8.08,342.16,33.92,168.14
7.83,340.94,28.38,315.96,NA,NA
NA,131.74,129.3,129.2,NA,NA
114.83,152.04,NA,NA,NA,NA
255.66,254.28,217.75,238.79,206.17,209.85
NA,279.88,273.37,261.36,NA,NA
282.68,262.28,231.49,NA,207.63,NA
119.62,132.72,131.8,135.47,129.27,149.46
291.57,NA,273.03,261.67,243.7,NA
93.88,115.93,NA,113.62,108.22,128.04
258.98,272.94,NA,237.31,205.77,NA
283.04,NA,228.16,NA,208.16,NA
287.01,270.84,132.89,NA,NA,NA
95.14,146.27,NA,130.04,NA,NA
282.58,267.44,230.9,244.63,104.33,NA
NA,NA,202.59,NA,196.56,NA
NA,248.12,203.44,235.8,194.23,NA
296.47,283.57,278.12,NA,NA,NA
NA,NA,NA,260.33,245.53,243.94
255.36,NA,221.25,NA,201.33,NA
297.92,286.45,291.88,273.89,NA,NA
290.19,278.34,269.91,262.19,248.43,NA
252.92,251.26,218.46,237.65,221.31,213.8
NA,NA,271.24,NA,252.33,NA
NA,278.08,NA,261.69,NA,NA
NA,306.4,310.11,NA,NA,NA
290.84,283.89,263.24,NA,252.33,NA
117.87,157.63,146.02,164.54,NA,NA
NA,NA,NA,98.65,100.51,120.46
