pos	ID	unit	st	end	days	utmx	utmy	lat	long	z	comments	year	site
Z	S210Z0	28	2010-08-14 11:30:25	2010-09-28 16:59:00	45.2281828703708	423430	7841476	70.6662	149.0726	19.7	DASAR not properly calibrated (ice), not used in Automated Analysis	2010	2
F	S210F0	42	2010-08-07 10:00:21	2010-09-29 20:10:00	53.4233680555553	434382	7855612	70.796	148.7876	32.1	DASAR not properly calibrated (ice), not used in Automated Analysis	2010	2
G	S210G0	5	2010-08-07 09:30:16	2010-09-29 20:53:00	53.474120370367	428480	7859264	70.8271	148.9515	31.9	DASAR not properly calibrated (ice), not used in Automated Analysis	2010	2
A	S211A0	38	2011-07-27 21:18:23	2011-10-04 06:30:00	68.3830555555614	427775.951053649	7838195.89373892	70.6381	148.9522	21	NA	2011	2
B	S211B0	9	2011-07-27 20:30:22	2011-10-04 07:07:00	68.4421064814815	434007.296077861	7841496.6054512	70.6694	148.7865	21.1	NA	2011	2
C	S211C0	4	2011-07-27 17:30:23	2011-10-04 07:44:59	68.5934722222228	428053.81198842	7845228.31857849	70.7012	148.9508	24.3	Originally thought to be bad, turned out it is OK	2011	2
D	S211D0	2	2011-07-27 19:45:20	2011-10-04 08:42:00	68.539351851854	434218.71727375	7848553.41910054	70.7327	148.7864	26.2	NA	2011	2
E	S211E0	11	2011-07-27 18:30:24	2011-10-04 09:27:00	68.6226388888899	428303.917854735	7852205.88574296	70.7638	148.9501	25.2	NA	2011	2
F	S211F0	5	2011-07-27 19:00:23	2011-10-04 10:07:00	68.6295833333352	434450.246023846	7855542.73841888	70.7954	148.7857	32.8	NA	2011	2
G	S211G0	6	2011-07-27 18:30:23	2011-10-04 10:44:00	68.6761226851886	428509.904882964	7859296.50891989	70.8274	148.9507	31.4	NA	2011	2
A	S212A0	67	2012-08-18 12:00:25	2012-10-04 03:33:00	46.6476273148146	427817.00448	7838194.57393	70.6381	148.9511	18.6	NA	2012	2
B	S212B0	46	2012-08-18 18:00:16	2012-10-04 04:18:59	46.4296759259232	433999.86887	7841507.98206	70.6695	148.7867	21.8	NA	2012	2
C	S212C0	6	2012-08-18 12:15:17	2012-10-04 04:59:00	46.6970254629632	428042.03439	7845206.37906	70.701	148.9511	24.4	NA	2012	2
D	S212D0	35	2012-08-18 17:15:20	2012-10-04 05:39:00	46.5164351851854	434225.09551	7848519.7571	70.7324	148.7862	26.9	NA	2012	2
E	S212E0	19	2012-08-18 13:15:19	2012-10-04 06:22:00	46.7129629629635	428267.88974	7852218.20342	70.7639	148.9511	25.5	NA	2012	2
F	S212F0	28	2012-08-18 14:30:23	2012-10-04 06:59:59	46.6872337962923	434449.95656	7855520.43065	70.7952	148.7857	32.6	NA	2012	2
G	S212G0	32	2012-08-18 13:50:16	2012-10-04 07:34:00	46.7386921296347	428493.09778	7859230.09425	70.8268	148.9511	32	NA	2012	2
A	S213A0	42	2013-08-09 11:00:18	2013-10-03 15:40:00	55.1942361111142	427789.35076	7838171.2813	70.6379	148.9518	20.7	NA	2013	2
B	S213B0	66	2013-08-09 18:45:25	2013-10-03 16:25:00	54.902488425927	433959.20618	7841537.07437	70.6697	148.7878	21.9	NA	2013	2
C	S213C0	43	2013-08-09 10:30:27	2013-10-03 16:59:00	55.2698263888888	428005.83109	7845151.74791	70.7005	148.952	24.4	NA	2013	2
D	S213D0	68	2013-08-09 12:00:20	2013-10-03 17:37:00	55.2337847222225	434158.35752	7848568.2185	70.7328	148.788	25.4	NA	2013	2
E	S213E0	41	2013-08-09 10:00:20	2013-10-03 18:20:59	55.347685185181	428283.18156	7852171.21142	70.7635	148.9506	25.7	NA	2013	2
F	S213F0	38	2013-08-09 09:30:24	2013-10-03 18:59:59	55.3955555555513	434426.68366	7855511.82121	70.7951	148.7863	32.4	NA	2013	2
G	S213G0	35	2013-08-09 09:30:16	2013-10-03 19:44:59	55.4268865740742	428474.39558	7859256.73061	70.827	148.9516	32.1	NA	2013	2
A	S214A0	11	2014-08-11 17:00:24	2014-09-29 17:57:00	49.0393055555542	427781.083400502	7838240.36474985	70.6384666666667	148.95205	21.8	NA	2014	2
B	S214B0	44	2014-08-11 17:30:22	2014-09-29 17:05:00	48.9823842592596	433997.201506347	7841530.37657796	70.6696833333333	148.786766666667	22.6	NA	2014	2
C	S214C0	12	2014-08-11 16:30:17	2014-09-29 16:21:59	48.9942476851793	428042.392809424	7845217.52661777	70.70105	148.951083333333	24.7	NA	2014	2
D	S214D0	31	2014-08-11 19:00:25	2014-09-29 15:16:00	48.8441550925927	434247.184268111	7848519.10695243	70.7324333333333	148.7856	25.7	NA	2014	2
E	S214E0	39	2014-08-11 16:00:17	2014-09-29 14:10:59	48.9241087962946	428263.846797888	7852218.33346095	70.7638833333333	148.951233333333	25.8	NA	2014	2
F	S214F0	23	2014-08-11 19:30:24	2014-09-29 12:27:59	48.7066666666651	434363.154857304	7855578.77870297	70.7956833333333	148.788116666667	32.3	NA	2014	2
G	S214G0	41	2014-08-11 16:00:23	2014-09-29 13:18:00	48.8872222222271	428484.69389983	7859196.88695531	70.8265	148.9513	36	NA	2014	2
A	S307A0	21	2007-08-23 01:00:23	2007-10-08 08:29:59	46.3122222222228	507412.748174857	7808851.31478539	70.3853	146.8022	28.956	NA	2007	3
B	S307B0	20	2007-08-23 01:00:17	2007-10-08 10:44:59	46.4060532407384	513385.220453624	7812425.05098895	70.4171	146.6422	33.528	NA	2007	3
C	S307C0	19	2007-08-23 01:00:23	2007-10-08 20:39:59	46.8191782407375	507363.491457239	7815955.18808626	70.449	146.8029	33.2232	NA	2007	3
D	S307D0	16	2007-08-23 02:00:24	2007-10-08 19:34:59	46.7323495370365	513420.916242739	7819539.45453853	70.4809	146.6401	38.1	NA	2007	3
E	S307E0	17	2007-08-23 02:00:16	2007-10-08 18:30:00	46.6873148148152	507300.030517749	7823008.88003961	70.5122	146.8039	38.7096	NA	2007	3
F	S307F0	22	2007-08-23 02:30:17	2007-10-08 09:59:59	46.3123032407384	513408.526076937	7826591.17067501	70.5441	146.6393	39.0144	NA	2007	3
G	S307G0	18	2007-08-23 03:00:22	2007-09-18 01:47:59	25.9497337962966	507363.483197597	7830031.80585812	70.5752	146.8016	40.5384	NA	2007	3
G	S307G1	18	2007-09-18 03:15:23	2007-10-08 17:10:00	46.5293171296362	507363.483197597	7830031.80585812	70.5747	146.8036	40.5384	NA	2007	3
A	S308A0	10	2008-08-21 05:40:23	2008-10-06 10:03:25	46.1826528395031	507442.852081564	7809002.34057324	70.3866	146.8013	27.1	NA	2008	3
B	S308B0	3	2008-08-21 06:45:22	2008-10-06 08:48:35	46.0855624691394	513423.056330477	7812542.74673817	70.4181	146.6412	32.6	NA	2008	3
C	S308C0	40	2008-08-21 07:20:16	2008-10-06 09:23:28	46.0855624691394	507391.495755413	7815957.50953966	70.449	146.8021	32.3	NA	2008	3
D	S308D0	39	2008-08-21 09:00:19	2008-10-06 07:57:06	45.9561086419781	513297.271480742	7818791.13305048	70.4742	146.6435	36.3	NA	2008	3
E	S308E0	28	2008-08-21 09:45:22	2008-10-06 07:08:57	45.8913817283974	507312.700450639	7823005.57521391	70.5122	146.8036	37.2	Sensor inconsistency => manual data OK, no automated analysis	2008	3
F	S308F0	8	2008-08-21 10:25:21	2008-10-06 06:15:44	45.8266548148167	513437.92847177	7826502.12426835	70.5433	146.6385	37.5	NA	2008	3
G	S308G0	29	2008-08-21 11:05:20	2008-10-06 06:55:43	45.8266548148167	507288.24354058	7829998.10385716	70.5749	146.8037	37.8	NA	2008	3
A	S309A0	42	2009-08-23 11:45:26	2009-10-01 09:20:00	38.8990046296312	507410	7808982	70.3865	146.8022	27.7	NA	2009	3
B	S309B0	25	2009-08-23 11:30:23	2009-10-01 17:19:59	39.242789351847	513467	7812532	70.418	146.64	33	NA	2009	3
C	S309C0	19	2009-08-23 11:00:21	2009-10-01 10:24:00	38.9747453703749	507332	7815998	70.4494	146.8037	32.7	NA	2009	3
D	S309D0	9	2009-08-23 10:00:23	2009-10-01 14:08:00	39.1719560185156	513385	7819504	70.4806	146.6411	37	NA	2009	3
E	S309E0	10	2009-08-23 08:45:19	2009-10-01 11:18:00	39.1060185185197	507301	7823041	70.5125	146.8039	37.7	NA	2009	3
F	S309F0	7	2009-08-23 08:30:22	2009-10-01 13:21:00	39.2018287037063	513333	7826584	70.544	146.6413	38.6	NA	2009	3
G	S309G0	46	2009-08-23 08:00:21	2009-10-01 12:04:59	39.1698958333291	507186	7829983	70.5748	146.8064	38.6	Bearings sometimes off by multiples of 90° - manual OK, no automated.	2009	3
B	S310B0	13	2010-08-12 21:45:17	2010-10-01 14:23:59	49.6935416666674	513451	7812528	70.418	146.6404	32.4	NA	2010	3
C	S310C0	18	2010-08-12 23:00:26	2010-10-01 13:37:00	49.6087268518531	507380	7816002	70.4494	146.8024	32.7	NA	2010	3
D	S310D0	19	2010-08-12 23:30:25	2010-10-01 12:52:00	49.5566550925942	513425	7819498	70.4805	146.64	36.3	NA	2010	3
E	S310E0	23	2010-08-13 00:10:22	2010-10-01 12:08:59	49.4990393518528	507301	7823006	70.5122	146.8039	37.2	NA	2010	3
G	S310G0	21	2010-08-13 01:30:19	2010-10-01 11:06:00	49.3997800925936	507331	7830032	70.5752	146.8025	38.2	NA	2010	3
A	S311A0	28	2011-07-28 12:20:16	2011-10-03 06:55:00	66.7741087963004	507369.130017844	7808965.14665755	70.3865	146.8033	27.7	NA	2011	3
B	S311B0	10	2011-07-28 21:50:17	2011-10-03 06:20:00	66.3539699074099	513425.244154072	7812461.19487893	70.4177	146.6409	32.6	No good bearings.	2011	3
C	S311C0	42	2011-07-28 11:45:21	2011-10-03 05:41:00	66.7469675925968	507372.403555352	7816035.73425642	70.4494	146.8027	32.5	NA	2011	3
D	S311D0	14	2011-07-29 02:00:18	2011-10-03 04:44:59	66.1143749999974	513386.84173406	7819598.58193511	70.481	146.6406	37	NA	2011	3
E	S311E0	26	2011-07-28 11:20:15	2011-10-03 04:09:59	66.7012037037057	507338.707999705	7822972.42247981	70.5122	146.8035	37.3	NA	2011	3
F	S311F0	20	2011-07-28 14:20:24	2011-10-03 03:35:00	66.5518055555513	513319.976880621	7826512.79884876	70.5435	146.641	28.4	NA	2011	3
G	S311G0	27	2011-07-28 10:45:23	2011-10-03 03:00:00	66.676817129628	507286.116172987	7830031.77517376	70.5752	146.803	37.9	No good bearings.	2011	3
A	S312A0	41	2012-08-19 12:20:19	2012-10-07 02:47:00	48.601851851854	507376.92519	7808987.47646	70.3865	146.8031	28.1	NA	2012	3
B	S312B0	16	2012-08-19 19:10:20	2012-10-07 02:08:00	48.2900462962934	513436.13667	7812517.0216	70.4179	146.6408	32.6	NA	2012	3
C	S312C0	2	2012-08-19 11:00:16	2012-10-07 01:28:59	48.6032870370327	507353.83819	7816002.21695	70.4494	146.8031	32.4	NA	2012	3
D	S312D0	22	2012-08-19 10:15:19	2012-10-07 00:33:59	48.5963078703644	513413.03297	7819520.66883	70.4807	146.6403	37.7	NA	2012	3
E	S312E0	9	2012-08-19 09:15:22	2012-10-06 23:26:59	48.5914120370362	507331.11682	7823017.00766	70.5123	146.8031	37.9	NA	2012	3
F	S312F0	26	2012-08-19 08:50:25	2012-10-06 22:44:59	48.579560185186	513390.10562	7826535.51873	70.5436	146.6398	38.2	NA	2012	3
G	S312G0	38	2012-08-19 08:00:18	2012-10-06 22:12:00	48.591458333336	507308.05143	7830020.69363	70.5751	146.8031	38.9	NA	2012	3
A	S313A0	17	2013-08-07 19:00:22	2013-10-01 08:23:59	54.5580787037034	507337.74392	7809017.09311	70.3867666666667	146.804133333333	28	No good bearings.	2013	3
B	S313B0	24	2013-08-07 18:30:18	2013-10-01 09:14:59	54.6143749999974	513407.9293	7812542.8739	70.4181333333333	146.64155	31.9	No good bearings.	2013	3
C	S313C0	4	2013-08-07 19:30:19	2013-10-01 09:39:00	54.5893634259264	507321.97853	7816037.43355	70.4497166666667	146.80395	32.5	NA	2013	3
D	S313D0	19	2013-08-07 18:00:22	2013-10-01 10:38:00	54.6928009259282	513393.55198	7819514.97737	70.48065	146.640833333333	36.4	NA	2013	3
E	S313E0	40	2013-08-07 20:00:16	2013-10-01 11:21:00	54.6393865740756	507302.98841	7823080.11762	70.5128666666667	146.80385	37.3528	No good bearings.	2013	3
F	S313F0	67	2013-08-07 21:00:20	2013-10-01 12:14:59	54.6351851851796	513481.44451	7826554.65345	70.5437666666667	146.63735	37.8528	NA	2013	3
G	S313G0	20	2013-08-07 20:30:25	2013-10-01 12:56:00	54.6844328703737	507274.24724	7830067.0569	70.5755166666667	146.804016666667	39.0528	NA	2013	3
A	S314A0	67	2014-08-12 20:00:19	2014-09-30 14:58:59	48.7907523148097	507331.486920677	7809020.78668357	70.3867833333333	146.80425	28.4	NA	2014	3
B	S314B0	42	2014-08-12 19:15:21	2014-09-30 14:02:00	48.782395833332	513398.468570533	7812561.40934682	70.4182666666667	146.641766666667	33.7	NA	2014	3
C	S314C0	24	2014-08-12 18:45:25	2014-09-30 12:30:00	48.7392939814818	507372.403555352	7816035.73425642	70.4497	146.802583333333	33.2	NA	2014	3
D	S314D0	15	2014-08-12 18:00:25	2014-09-30 11:45:00	48.7392939814818	513405.88189094	7819531.77909228	70.4808	146.640483333333	37.6	NA	2014	3
E	S314E0	35	2014-08-12 17:00:24	2014-09-30 10:50:00	48.742766203708	507323.634208214	7823028.13587647	70.51235	146.803283333333	38.2	NA	2014	3
F	S314F0	21	2014-08-12 16:30:22	2014-09-30 08:58:59	48.6865509259223	513397.846170499	7826546.71726501	70.54365	146.63955	38.8	NA	2014	3
G	S314G0	16	2014-08-12 16:00:18	2014-09-30 10:05:00	48.7532638888879	507293.53960033	7830031.79917165	70.5752166666667	146.8035	39.1	NA	2014	3
A	S407A0	8	2007-08-22 11:30:18	2007-10-10 08:45:00	48.8851967592636	548231.303126609	7794368.63580311	70.251	145.721	27.7368	NA	2007	4
B	S407B0	6	2007-08-22 12:00:17	2007-10-10 11:00:00	48.9581250000047	554180.547812753	7798012.0290322	70.2825	145.561	31.6992	NA	2007	4
C	S407C0	3	2007-08-22 11:30:21	2007-10-10 12:40:00	49.0483680555553	548037.36044868	7801413.32482556	70.3142	145.7222	32.004	NA	2007	4
D	S407D0	2	2007-08-22 11:30:23	2007-10-10 14:39:59	49.1316782407375	554055.425229853	7804969.08139231	70.3449	145.56	34.7472	NA	2007	4
E	S407E0	7	2007-08-22 11:30:20	2007-10-10 16:44:59	49.2185185185153	547850.456286703	7808454.86385142	70.3773	145.7232	37.1856	NA	2007	4
F	S407F0	4	2007-08-22 12:00:24	2007-10-10 18:20:00	49.2636111111133	553911.390540867	7811905.65359467	70.4071	145.5594	40.5384	NA	2007	4
G	S407G0	5	2007-08-22 12:30:21	2007-10-10 20:29:59	49.3330787037048	547707.631497395	7815452.75646451	70.4401	145.7231	40.8432	NA	2007	4
A	S408A0	23	2008-08-20 06:35:20	2008-10-05 08:38:33	46.0855624691394	548195.116125863	7794379.40232521	70.2511	145.7219	25.3	Sensor inconsistency => manual data OK, no automated analysis	2008	4
B	S408B0	31	2008-08-20 07:25:21	2008-10-05 07:08:45	45.9884720987684	554221.580894642	7798012.99974683	70.2825	145.5599	30.2	NA	2008	4
C	S408C0	17	2008-08-20 08:03:16	2008-10-05 07:46:40	45.9884720987684	548005.927190391	7801417.87050519	70.3142	145.723	30.8	NA	2008	4
