pos	ID	unit	st	end	days	utmx	utmy	lat	long	z	comments	year	site
I	S412I0	40	2012-08-16 17:50:22	2012-10-07 08:31:00	51.6115509259253	541901.94215	7804809.86192	70.3457	145.8837	32.2	NA	2012	4
J	S412J0	5	2012-08-17 03:30:21	2012-10-06 04:21:00	50.0351736111115	554041.02642	7819043.11123	70.471	145.5514	38.2	NA	2012	4
K	S412K0	39	2012-08-17 05:30:21	2012-10-06 04:57:59	49.9775347222167	560019.0807	7822421.12409	70.4999	145.3888	45.3	NA	2012	4
L	S412L0	24	2012-08-17 04:15:21	2012-10-06 05:41:00	50.0594675925968	554187.91839	7826053.67829	70.5338	145.543	37.4	NA	2012	4
M	S412M0	42	2012-08-17 04:45:17	2012-10-06 06:17:00	50.0636921296318	560166.0756	7829431.5286	70.5627	145.3799	54.4	No bearings.	2012	4
A'	S413A1	11	2013-08-06 12:00:16	2013-09-30 05:29:59	54.7289814814794	560296.77409	7794427.65138	70.2489	145.4011	28.2	NA	2013	4
B	S413B0	32	2013-08-06 11:30:18	2013-09-30 06:07:00	54.7754861111098	554212.48422	7797992.5526	70.2823	145.5602	30.4	NA	2013	4
C'	S413C1	3	2013-08-06 12:30:19	2013-09-30 06:49:00	54.7629629629664	560169.0197	7801365.45836	70.3112	145.3997	33.4	NA	2013	4
D	S413D0	13	2013-08-06 11:00:21	2013-09-30 07:30:00	54.8539236111101	554037.12063	7804979.27964	70.3449	145.5604	31.2	NA	2013	4
E'	S413E1	31	2013-08-06 13:00:17	2013-09-30 08:16:59	54.8032754629603	559934.18754	7808438.09349	70.3746	145.401	38.4	NA	2013	4
F	S413F0	34	2013-08-06 17:30:23	2013-09-30 13:50:59	54.8476388888885	553884.26123	7812016.78886	70.4081	145.5601	39.8	NA	2013	4
G'	S413G1	8	2013-08-06 14:00:16	2013-09-30 09:29:00	54.811608796299	559821.4902	7815400.56392	70.4371	145.3991	40.4	NA	2013	4
H	S413H0	28	2013-08-07 10:15:21	2013-09-30 21:03:00	54.4497453703734	541794.91903	7811762.62239	70.408	145.8832	36.4	NA	2013	4
I	S413I0	26	2013-08-07 09:15:18	2013-09-30 19:21:59	54.4213078703688	541883.46054	7804828.11371	70.3459	145.8842	32.6	NA	2013	4
J	S413J0	23	2013-08-06 17:00:21	2013-09-30 10:01:00	54.7087731481515	554009.26269	7819081.40003	70.4713	145.5522	36.6	NA	2013	4
K	S413K0	29	2013-08-06 15:00:17	2013-09-30 10:38:59	54.8185416666674	559987.68521	7822415.08501	70.4999	145.3897	44	Bad bearings.	2013	4
L	S413L0	10	2013-08-06 16:15:18	2013-09-30 11:38:00	54.8074305555565	554166.29498	7826076.21595	70.534	145.5435	46.4	NA	2013	4
M	S413M0	12	2013-08-06 15:30:24	2013-09-30 12:20:59	54.868472222217	560126.23932	7829406.66542	70.5625	145.381	54.8	Bad bearings.	2013	4
A'	S414A1	22	2014-08-14 20:00:23	2014-10-01 17:19:00	47.8879282407433	560316.987192857	7794400.29148545	70.24865	145.400633333333	28.3	NA	2014	4
B	S414B0	3	2014-08-14 20:00:19	2014-10-01 16:40:00	47.8608796296321	554191.163956765	7798018.07761888	70.2824833333333	145.560683333333	31.2	NA	2014	4
C'	S414C1	13	2014-08-14 18:00:22	2014-10-01 15:48:00	47.9080671296324	560155.219188235	7801413.43975417	70.3116	145.4	32.5	NA	2014	4
D	S414D0	6	2014-08-14 18:00:22	2014-10-01 15:08:00	47.8803009259282	554040.267822094	7805031.41440545	70.3454166666667	145.56025	32.9	NA	2014	4
E'	S414E1	20	2014-08-14 17:00:19	2014-10-01 14:25:00	47.8921296296321	560035.341708701	7808394.26940841	70.3742333333333	145.3983	37.8	NA	2014	4
F	S414F0	5	2014-08-14 17:00:21	2014-10-01 13:40:00	47.8608680555553	553904.443166296	7812034.00055689	70.4081666666667	145.559483333333	39.7	NA	2014	4
G'	S414G1	29	2014-08-14 17:00:23	2014-10-01 12:14:59	47.801817129628	559876.759676727	7815407.59845274	70.4371166666667	145.397583333333	40.1	NA	2014	4
H	S414H0	9	2014-08-14 06:00:25	2014-10-03 09:46:00	50.1566435185232	541660.55229811	7811843.81618864	70.4088	145.886733333333	36.7	NA	2014	4
I	S414I0	4	2014-08-13 21:00:17	2014-10-03 08:58:00	50.4984027777828	541883.380280485	7804798.36709406	70.34555	145.8842	32.3	NA	2014	4
J	S414J0	14	2014-08-14 16:00:20	2014-10-01 11:35:59	47.816435185181	554044.383348843	7819043.19123864	70.471	145.551283333333	38.7	NA	2014	4
K	S414K0	18	2014-08-14 16:00:20	2014-10-01 10:49:00	47.7837962962949	560012.761027016	7822406.45273007	70.4998	145.389016666667	44.6	NA	2014	4
L	S414L0	25	2014-08-14 15:00:20	2014-10-01 09:00:00	47.7497685185153	554196.43881021	7826086.23508875	70.53405	145.542666666667	47.3	NA	2014	4
M	S414M0	28	2014-08-14 13:00:21	2014-10-01 09:43:00	47.8629513888882	560175.223434258	7829450.73935323	70.5629333333333	145.3796	44.5	NA	2014	4
A	S507A0	9	2007-08-21 03:00:24	2007-10-09 09:30:00	49.2705555555585	412724.745622053	7795000.25420735	70.2463	143.3142	38.7096	NA	2007	5
B	S507B0	11	2007-08-21 03:00:25	2007-10-09 12:00:00	49.374710648146	418932.783761483	7798183.01860675	70.2769	143.1528	46.9392	NA	2007	5
C	S507C0	14	2007-08-21 03:00:17	2007-10-09 13:34:59	49.4407754629574	412980.254179487	7801964.04713712	70.3088	143.3145	47.5488	NA	2007	5
D	S507D1	10	2007-09-18 19:00:21	2007-10-09 15:20:00	20.8469791666648	419126.097881454	7805311.88487696	70.3409	143.1531	52.4	Good on second deployment	2007	5
E	S507E0	13	2007-08-21 06:00:22	2007-09-18 22:20:00	28.6802893518543	413306.086065661	7809124.99614828	70.3731	143.3131	53.6	NA	2007	5
E	S507E1	13	2007-09-19 00:00:20	2007-10-09 22:50:00	20.9511458333363	413306.086065661	7809124.99614828	70.3729	143.3121	53.6	NA	2007	5
F	S507F0	15	2007-08-21 06:00:25	2007-09-18 22:20:00	28.6802662037007	419492.308560458	7812560.78583225	70.4059	143.1514	53.3	NA	2007	5
G	S507G0	12	2007-08-21 06:00:24	2007-10-09 22:09:59	49.6733333333323	413508.97443431	7816078.6053337	70.4354	143.3147	53.6448	NA	2007	5
A	S508A0	5	2008-08-19 07:25:21	2008-10-03 13:16:53	45.2441125925907	412759.288791071	7795035.02833454	70.2466	143.3134	38.7	NA	2008	5
B	S508B0	14	2008-08-19 09:00:22	2008-10-03 13:18:40	45.17938567901	418922.893747754	7798205.31652018	70.2771	143.153	46	NA	2008	5
C	S508C0	11	2008-08-19 09:40:20	2008-10-03 13:58:38	45.17938567901	412862.124056319	7802060.81188906	70.3096	143.3177	50	NA	2008	5
D	S508D0	26	2008-08-19 11:30:26	2008-10-03 12:42:20	45.0499318518487	419170.031705109	7805275.73280244	70.3405	143.1531	52.1	NA	2008	5
E	S508E0	27	2008-08-19 12:15:23	2008-10-03 11:54:05	44.985204938268	413197.026547541	7809059.20369415	70.3724	143.3159	52.1	NA	2008	5
F	S508F0	4	2008-08-19 13:15:21	2008-10-03 11:20:50	44.9204780246946	419405.595777815	7812227.56445536	70.4029	143.1534	51.8	NA	2008	5
G	S508G0	21	2008-08-19 13:55:20	2008-10-03 12:00:49	44.9204780246946	413507.381125603	7816026.95156699	70.435	143.3147	51.5	NA	2008	5
A	S509A0	4	2009-08-21 18:45:22	2009-10-06 01:07:00	45.2650115740762	412697	7795053	70.2468	143.315	33.6	NA	2009	5
B	S509B0	14	2009-08-21 18:00:22	2009-10-06 00:24:59	45.267094907409	418527	7798307	70.2779	143.1636	45.9	NA	2009	5
C	S509C0	6	2009-08-21 17:30:18	2009-10-06 02:00:00	45.3539467592636	412980	7802036	70.3094	143.3146	47.7	NA	2009	5
D	S509D0	3	2009-08-21 17:00:23	2009-10-05 22:38:59	45.2351504629623	419211	7805295	70.3407	143.152	51.7	NA	2009	5
E	S509E0	16	2009-08-21 16:30:24	2009-10-05 21:20:00	45.2011111111133	413202	7809074	70.3726	143.3158	53.3	NA	2009	5
F	S509F0	41	2009-08-21 16:00:18	2009-10-05 20:45:59	45.1983912037031	419473	7812302	70.4036	143.1517	52.7	NA	2009	5
G	S509G0	21	2009-08-21 16:00:15	2009-10-05 19:59:00	45.16578703704	413514	7816059	70.4353	143.3146	51.6	NA	2009	5
A	S510A0	3	2010-08-07 10:15:23	2010-10-04 13:50:59	58.1497337962937	412659	7795035	70.2466	143.316	37.4	Bad Bearings after 29 Sept.  Detection and Localization perfomed up until then	2010	5
B	S510B0	46	2010-08-07 11:40:23	2010-10-04 14:53:00	58.1337615740704	418898	7798311	70.278	143.1538	45.5	NA	2010	5
C	S510C0	44	2010-08-11 00:30:21	2010-10-04 15:40:00	54.6317013888911	412949	7802045	70.3095	143.3154	44.1	NA	2010	5
D	S510D0	43	2010-08-11 01:20:22	2010-10-05 08:39:00	55.3046064814844	419139	7805333	70.341	143.154	52.8	NA	2010	5
E	S510E0	9	2010-08-11 01:50:19	2010-10-05 09:27:59	55.3178240740745	413253	7809065	70.3725	143.3144	52.8	NA	2010	5
G	S510G0	4	2010-08-11 03:00:22	2010-10-05 14:32:59	55.4809837962966	413492	7816110	70.4357	143.3152	52.4	NA	2010	5
A	S511A0	40	2011-07-31 05:45:23	2011-09-30 18:23:00	61.5261226851871	412736.990777365	7794998.89203388	70.2463	143.3139	37.74	NA	2011	5
B	S511B0	23	2011-07-30 19:45:25	2011-09-30 19:15:00	61.9788773148175	418977.006090146	7798318.94144915	70.2781	143.1517	46.09	NA	2011	5
C	S511C0	39	2011-07-30 19:00:17	2011-09-30 20:16:00	62.0525810185209	413002.790423357	7801986.8481021	70.309	143.3139	49.5	NA	2011	5
D	S511D0	21	2011-07-30 18:43:18	2011-09-30 21:06:00	62.0990972222207	419172.478228951	7805331.66637554	70.341	143.1531	51.524	NA	2011	5
E	S511E0	41	2011-07-30 18:00:20	2011-09-30 22:52:00	62.2025347222225	413283.752930728	7809074.72400017	70.3726	143.3136	52.9	NA	2011	5
F	S511F0	35	2011-07-30 17:20:18	2011-10-01 00:13:00	62.2865972222207	419453.628295201	7812319.08463539	70.4037	143.1522	51.2	NA	2011	5
G	S511G0	19	2011-07-30 16:45:21	2011-10-01 00:53:59	62.3393402777729	413520.274790443	7816075.04682866	70.4354	143.3144	51.7	NA	2011	5
A	S512A0	29	2012-08-20 08:30:23	2012-10-05 04:57:59	45.8525000000009	412714.8437	7795022.057	70.2465	143.3145	38.4	Turned on 28 Aug. Different bearing reference after that	2012	5
B	S512B0	25	2012-08-20 12:40:20	2012-10-05 05:39:00	45.7074074074117	418920.1311	7798298.634	70.2779	143.1532	43.4	NA	2012	5
C	S512C0	27	2012-08-20 08:55:16	2012-10-05 06:23:00	45.8942592592575	412981.9378	7802032.286	70.3094	143.3145	44.9	NA	2012	5
D	S512D0	20	2012-08-20 11:50:20	2012-10-05 09:11:59	45.890046296292	419167.9363	7805309.507	70.3408	143.1532	52	NA	2012	5
E	S512E0	11	2012-08-20 09:40:23	2012-10-05 07:02:59	45.8907060185156	413249.136	7809042.558	70.3723	143.3145	52.6	NA	2012	5
F	S512F0	8	2012-08-20 11:20:18	2012-10-05 08:32:00	45.8831250000003	419454.0024	7812319.071	70.4037	143.1522	51.6	NA	2012	5
G	S512G0	44	2012-08-20 10:25:18	2012-10-05 07:47:00	45.8900694444455	413516.0644	7816052.884	70.4352	143.3145	51.9	NA	2012	5
A	S513A0	5	2013-08-05 08:30:15	2013-09-29 10:08:00	55.0678703703743	412709.39559	7794951.58034	70.2459	143.3146	37.1528	NA	2013	5
B	S513B0	15	2013-08-05 09:00:25	2013-09-29 10:47:59	55.0747106481431	419024.78648	7798302.37584	70.278	143.1504	47.0528	NA	2013	5
C	S513C0	21	2013-08-05 08:30:23	2013-09-29 11:29:59	55.1247222222228	413028.06641	7802008.20908	70.3092	143.3132	47.3528	Bad bearings until 1 Sept.  Detection and Localization after that date	2013	5
D	S513D0	25	2013-08-05 07:00:17	2013-09-29 12:06:00	55.2123032407399	419059.70199	7805259.40525	70.3403	143.156	51.8528	Bad bearings.	2013	5
E	S513E0	27	2013-08-05 07:30:20	2013-09-29 12:40:00	55.2150347222268	413210.71863	7809012.40047	70.372	143.3155	53.0528	Bad bearings.	2013	5
F	S513F0	9	2013-08-05 06:45:17	2013-09-29 13:33:00	55.2831365740712	419431.87227	7812357.05168	70.404	143.1528	52.1528	NA	2013	5
G	S513G0	16	2013-08-05 07:30:24	2013-09-29 14:16:00	55.2816666666695	413449.76124	7816040.53229	70.4351	143.3163	51.8528	NA	2013	5
A	S514A0	43	2014-08-16 18:00:17	2014-10-02 15:32:00	46.8970254629603	412703.911762191	7795022.47256248	70.2464666666667	143.314816666667	38.7	NA	2014	5
B	S514B0	34	2014-08-16 18:00:20	2014-10-02 14:26:00	46.8511574074073	418915.990438842	7798298.78032398	70.2779166666667	143.153333333333	46.9	NA	2014	5
C	S514C0	40	2014-08-16 16:30:25	2014-10-02 13:47:59	46.8872106481431	412958.54067339	7802010.8544583	70.30915	143.3151	52.5	NA	2014	5
D	S514D0	26	2014-08-16 16:00:23	2014-10-02 12:49:59	46.8677777777775	419187.488788235	7805331.13497686	70.341	143.152733333333	52.6	NA	2014	5
E	S514E0	8	2014-08-16 16:00:15	2014-10-02 12:11:00	46.8407870370429	413239.995159907	7809009.42170884	70.3719666666667	143.314666666667	52.9	NA	2014	5
F	S514F0	17	2014-08-16 15:00:24	2014-10-02 10:41:00	46.8198611111147	419412.475670058	7812320.54197357	70.40365	143.153333333333	51.8	Bad bearings with new sensor.	2014	5
G	S514G0	2	2014-08-16 15:00:22	2014-10-02 09:14:00	46.7594675925939	413511.106862164	7816030.75041578	70.4350333333333	143.314616666667	51.6	NA	2014	5
X	S012X0	23	2012-08-16 15:45:25	2012-10-08 10:02:59	52.7622106481431	532758.1224	7812548.149	70.4164	146.1243	35.7	NA	2012	0
Y	S012Y0	68	2012-08-16 15:30:19	2012-10-08 10:41:00	52.7990856481483	530826.0764	7812028.166	70.412	146.1761	35.3	NA	2012	0
Z	S012Z0	66	2012-08-16 16:15:23	2012-10-08 10:43:00	52.7691782407419	531342.0225	7813961.417	70.4293	146.1616	35.9	NA	2012	0
X	S013X0	18	2013-08-07 10:30:25	2013-09-30 23:06:59	54.5253935185174	532797.2168	7812535.32831	70.4163	146.1233	35.5528	NA	2013	0
Y	S013Y0	22	2013-08-07 11:15:19	2013-09-30 23:23:00	54.5053356481512	530813.07981	7812029.85224	70.412	146.1765	34.5528	NA	2013	0
Z	S013Z0	39	2013-08-07 11:00:26	2013-09-30 23:38:00	54.5260879629641	531303.68772	7813993.98096	70.4296	146.1626	36.0528	NA	2013	0
